joke_id,joke,cleanedText1,cleanedText2,cleanedText3,pos_tags,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRT,PRON,VERB,PUNC,OTHERS
1,"  
A man visits the doctor. The doctor says ""I have bad news for you.You have
cancer and Alzheimer's disease"".

The man replies ""Well,thank God I don't have cancer!""

",a man visits the doctor the doctor says i have bad news for you you have cancer and alzheimer s disease the man replies well thank god i don t have cancer,man visits doctor doctor says bad news cancer alzheimer disease man replies well thank god cancer,man visit doctor doctor say bad news cancer alzheimer disease man reply well thank god cancer,"[('man', 'NOUN'), ('visits', 'NOUN'), ('doctor', 'VERB'), ('doctor', 'NOUN'), ('says', 'VERB'), ('bad', 'ADJ'), ('news', 'NOUN'), ('cancer', 'NOUN'), ('alzheimer', 'NOUN'), ('disease', 'NOUN'), ('man', 'NOUN'), ('replies', 'VERB'), ('well', 'ADV'), ('thank', 'ADJ'), ('god', 'NOUN'), ('cancer', 'NOUN')]","['bad', 'thank']",[],['well'],[],[],"['man', 'visits', 'doctor', 'news', 'cancer', 'alzheimer', 'disease', 'man', 'god', 'cancer']",[],[],[],"['doctor', 'says', 'replies']",[],[]
10,"|  

  
Two cannibals are eating a clown, one turns to other and says:

""Does this taste funny to you?

  
---|---

",two cannibals are eating a clown one turns to other and says does this taste funny to you,two cannibals eating clown one turns says taste funny,two cannibal eating clown one turn say taste funny,"[('two', 'NUM'), ('cannibals', 'NOUN'), ('eating', 'VERB'), ('clown', 'ADJ'), ('one', 'NUM'), ('turns', 'VERB'), ('says', 'VERB'), ('taste', 'NOUN'), ('funny', 'NOUN')]",['clown'],[],[],[],[],"['cannibals', 'taste', 'funny']","['two', 'one']",[],[],"['eating', 'turns', 'says']",[],[]
100,"  
  
Q: Whats the difference between greeting a Queen and greeting the President of
the United States?

A: You only have to get on _one knee_ to greet the queen.  
---

",q whats the difference between greeting a queen and greeting the president of the united states a you only have to get on _one knee_ to greet the queen,q whats difference greeting queen greeting president united states get _one knee_ greet queen,q whats difference greeting queen greeting president united state get _one knee_ greet queen,"[('q', 'NOUN'), ('whats', 'NOUN'), ('difference', 'NOUN'), ('greeting', 'VERB'), ('queen', 'ADJ'), ('greeting', 'VERB'), ('president', 'NOUN'), ('united', 'ADJ'), ('states', 'NOUN'), ('get', 'VERB'), ('_one', 'ADJ'), ('knee_', 'NOUN'), ('greet', 'NOUN'), ('queen', 'NOUN')]","['queen', 'united', '_one']",[],[],[],[],"['q', 'whats', 'difference', 'president', 'states', 'knee_', 'greet', 'queen']",[],[],[],"['greeting', 'greeting', 'get']",[],[]
11,"|  

  
Q. What do a hurricane, a tornado, and a redneck divorce all have in common?

A. Someone's going to lose their trailer...  
  
---|---

",q what do a hurricane a tornado and a redneck divorce all have in common a someone s going to lose their trailer,q hurricane tornado redneck divorce common someone going lose trailer,q hurricane tornado redneck divorce common someone going lose trailer,"[('q', 'ADV'), ('hurricane', 'NOUN'), ('tornado', 'NOUN'), ('redneck', 'NOUN'), ('divorce', 'NOUN'), ('common', 'ADJ'), ('someone', 'NOUN'), ('going', 'VERB'), ('lose', 'ADJ'), ('trailer', 'NOUN')]","['common', 'lose']",[],['q'],[],[],"['hurricane', 'tornado', 'redneck', 'divorce', 'someone', 'trailer']",[],[],[],['going'],[],[]
12,"|  

  
A guy stood over his tee shot for what seemed an eternity, looking up, looking
down, measuring the distance, figuring the wind direction and speed. Driving
his partner nuts.

Finally his exasperated partner says, ""What the hell is taking so long? Hit
the goddamn ball!"" The guy answers, ""My wife is up there watching me from the
clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't
stand a snowball's chance in hell of hitting her from here!""  
---|---

",a guy stood over his tee shot for what seemed an eternity looking up looking down measuring the distance figuring the wind direction and speed driving his partner nuts finally his exasperated partner says what the hell is taking so long hit the goddamn ball the guy answers my wife is up there watching me from the clubhouse i want to make this a perfect shot well hell man you don t stand a snowball s chance in hell of hitting her from here,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nuts finally exasperated partner says hell taking long hit goddamn ball guy answers wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nut finally exasperated partner say hell taking long hit goddamn ball guy answer wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,"[('guy', 'NOUN'), ('stood', 'VERB'), ('tee', 'NOUN'), ('shot', 'NOUN'), ('seemed', 'VERB'), ('eternity', 'NOUN'), ('looking', 'VERB'), ('looking', 'VERB'), ('measuring', 'VERB'), ('distance', 'NOUN'), ('figuring', 'VERB'), ('wind', 'ADJ'), ('direction', 'NOUN'), ('speed', 'NOUN'), ('driving', 'VERB'), ('partner', 'NOUN'), ('nuts', 'NOUN'), ('finally', 'ADV'), ('exasperated', 'VERB'), ('partner', 'NOUN'), ('says', 'VERB'), ('hell', 'NOUN'), ('taking', 'VERB'), ('long', 'ADJ'), ('hit', 'NOUN'), ('goddamn', 'NOUN'), ('ball', 'NOUN'), ('guy', 'NOUN'), ('answers', 'NOUN'), ('wife', 'NOUN'), ('watching', 'VERB'), ('clubhouse', 'NOUN'), ('want', 'VERB'), ('make', 'NOUN'), ('perfect', 'NOUN'), ('shot', 'NOUN'), ('well', 'ADV'), ('hell', 'ADV'), ('man', 'NOUN'), ('stand', 'VERB'), ('snowball', 'ADJ'), ('chance', 'NOUN'), ('hell', 'NOUN'), ('hitting', 'VERB')]","['wind', 'long', 'snowball']",[],"['finally', 'well', 'hell']",[],[],"['guy', 'tee', 'shot', 'eternity', 'distance', 'direction', 'speed', 'partner', 'nuts', 'partner', 'hell', 'hit', 'goddamn', 'ball', 'guy', 'answers', 'wife', 'clubhouse', 'make', 'perfect', 'shot', 'man', 'chance', 'hell']",[],[],[],"['stood', 'seemed', 'looking', 'looking', 'measuring', 'figuring', 'driving', 'exasperated', 'says', 'taking', 'watching', 'want', 'stand', 'hitting']",[],[]
13,"|  

  
They asked the Japanese visitor if they have elections in his country.  
  
""Every Morning"" he answers.

  
---|---

",they asked the japanese visitor if they have elections in his country every morning he answers,asked japanese visitor elections country every morning answers,asked japanese visitor election country every morning answer,"[('asked', 'VERB'), ('japanese', 'ADJ'), ('visitor', 'NOUN'), ('elections', 'NOUN'), ('country', 'NOUN'), ('every', 'DET'), ('morning', 'NOUN'), ('answers', 'NOUN')]",['japanese'],[],[],[],['every'],"['visitor', 'elections', 'country', 'morning', 'answers']",[],[],[],['asked'],[],[]
14,"|  

  
The father was very anxious to marry off his only daughter so he wanted to
impress her date. ""Do you like to screw,"" he says. ""Huh"" replied the surprised
first date. ""My daughter she loves to screw and she's good at it, you and her
should go screw,"" carefully explained the father. Now very interested the boy
replied, ""Yes, sir."" Minutes later the girl came down the stairs, kissed her
father goodbye and the couple left. After only a few minutes she reappeared,
furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST,
get it straight!""  
  
---|---

",the father was very anxious to marry off his only daughter so he wanted to impress her date do you like to screw he says huh replied the surprised first date my daughter she loves to screw and she s good at it you and her should go screw carefully explained the father now very interested the boy replied yes sir minutes later the girl came down the stairs kissed her father goodbye and the couple left after only a few minutes she reappeared furious dress torn hair a mess and screamed dammit daddy it s the twist get it straight,father anxious marry daughter wanted impress date like screw says huh replied surprised first date daughter loves screw good go screw carefully explained father interested boy replied yes sir minutes later girl came stairs kissed father goodbye couple left minutes reappeared furious dress torn hair mess screamed dammit daddy twist get straight,father anxious marry daughter wanted impress date like screw say huh replied surprised first date daughter love screw good go screw carefully explained father interested boy replied yes sir minute later girl came stair kissed father goodbye couple left minute reappeared furious dress torn hair mess screamed dammit daddy twist get straight,"[('father', 'ADV'), ('anxious', 'ADJ'), ('marry', 'NOUN'), ('daughter', 'NOUN'), ('wanted', 'VERB'), ('impress', 'ADJ'), ('date', 'NOUN'), ('like', 'ADP'), ('screw', 'NOUN'), ('says', 'VERB'), ('huh', 'NOUN'), ('replied', 'VERB'), ('surprised', 'ADJ'), ('first', 'ADJ'), ('date', 'NOUN'), ('daughter', 'NOUN'), ('loves', 'VERB'), ('screw', 'ADV'), ('good', 'ADJ'), ('go', 'NOUN'), ('screw', 'VERB'), ('carefully', 'ADV'), ('explained', 'VERB'), ('father', 'ADV'), ('interested', 'ADJ'), ('boy', 'NOUN'), ('replied', 'VERB'), ('yes', 'X'), ('sir', 'NOUN'), ('minutes', 'NOUN'), ('later', 'ADV'), ('girl', 'VERB'), ('came', 'VERB'), ('stairs', 'NOUN'), ('kissed', 'VERB'), ('father', 'ADV'), ('goodbye', 'ADJ'), ('couple', 'NOUN'), ('left', 'VERB'), ('minutes', 'NOUN'), ('reappeared', 'VERB'), ('furious', 'ADJ'), ('dress', 'NOUN'), ('torn', 'ADJ'), ('hair', 'NOUN'), ('mess', 'NOUN'), ('screamed', 'VERB'), ('dammit', 'NOUN'), ('daddy', 'NOUN'), ('twist', 'NOUN'), ('get', 'NOUN'), ('straight', 'VERB')]","['anxious', 'impress', 'surprised', 'first', 'good', 'interested', 'goodbye', 'furious', 'torn']",['like'],"['father', 'screw', 'carefully', 'father', 'later', 'father']",[],[],"['marry', 'daughter', 'date', 'screw', 'huh', 'date', 'daughter', 'go', 'boy', 'sir', 'minutes', 'stairs', 'couple', 'minutes', 'dress', 'hair', 'mess', 'dammit', 'daddy', 'twist', 'get']",[],[],[],"['wanted', 'says', 'replied', 'loves', 'screw', 'explained', 'replied', 'girl', 'came', 'kissed', 'left', 'reappeared', 'screamed', 'straight']",[],['yes']
15,"|  

  
Q: What did the blind person say when given some matzah?  
  
A: Who the hell wrote this?

  
  
---|---

",q what did the blind person say when given some matzah a who the hell wrote this,q blind person say given matzah hell wrote,q blind person say given matzah hell wrote,"[('q', 'NOUN'), ('blind', 'ADP'), ('person', 'NOUN'), ('say', 'VERB'), ('given', 'VERB'), ('matzah', 'NOUN'), ('hell', 'VERB'), ('wrote', 'VERB')]",[],['blind'],[],[],[],"['q', 'person', 'matzah']",[],[],[],"['say', 'given', 'hell', 'wrote']",[],[]
16,"|  

  
Q. What is orange and sounds like a parrot?  
  
A. A carrot.

  
  
---|---

",q what is orange and sounds like a parrot a a carrot,q orange sounds like parrot carrot,q orange sound like parrot carrot,"[('q', 'ADJ'), ('orange', 'NOUN'), ('sounds', 'NOUN'), ('like', 'ADP'), ('parrot', 'NOUN'), ('carrot', 'NOUN')]",['q'],['like'],[],[],[],"['orange', 'sounds', 'parrot', 'carrot']",[],[],[],[],[],[]
17,"|  

  
How many men does it take to screw in a light bulb?

One...men will screw anything.  
---|---

",how many men does it take to screw in a light bulb one men will screw anything,many men take screw light bulb one men screw anything,many men take screw light bulb one men screw anything,"[('many', 'ADJ'), ('men', 'NOUN'), ('take', 'VERB'), ('screw', 'NOUN'), ('light', 'NOUN'), ('bulb', 'VERB'), ('one', 'NUM'), ('men', 'NOUN'), ('screw', 'VERB'), ('anything', 'NOUN')]",['many'],[],[],[],[],"['men', 'screw', 'light', 'men', 'anything']",['one'],[],[],"['take', 'bulb', 'screw']",[],[]
